fire	year	temp	humidity	rainfall	drought_code	buildup_index	day	month	wind_speed	encoded_fire	loss_e1	pred_e1	loss_e2	pred_e2	loss_e3	pred_e3	loss_e4	pred_e4	loss_e5	pred_e5	loss_e6	pred_e6	loss_e7	pred_e7	loss_e8	pred_e8	loss_e9	pred_e9	loss_e10	pred_e10	pred
no	2017	28	77	1.2	9.06	3.25	2	7	21	0	0.22418270632177198	0	0.27450655510586264	1	0.18802469403231184	0	0.09080890739364116	0	0.0502175121647655	0	0.03143434231820597	0	0.02195406814265132	0	0.017043727935213446	0	0.014398469191928784	0	0.012874129436196017	0	0
no	2015	33	78	0.0	19.46	6.4	4	7	18	0	0.2009506376218669	0	0.24957596760871537	0	0.1770192235655644	0	0.0995997892497896	0	0.06057807764378698	0	0.04326384609424628	0	0.03445459235511607	0	0.03011871755396023	0	0.028202074664929088	0	0.027529903182353443	0	0
yes	2016	34	64	0.0	28.2	9.1	5	7	15	1	0.2974713081799603	0	0.21932539975980792	1	0.2587852219551908	0	0.34097315388586785	0	0.46259671263054225	0	0.5268453947401638	0	0.5598494613387243	0	0.5684653361104002	0	0.5566971774462526	0	0.5309162826846864	0	0
no	2008	35	65	0.2	41.16	12.76	7	7	18	0	0.17950969673272665	0	0.21999538732699403	0	0.17777562901971608	0	0.13905087538606023	0	0.12595323901026678	0	0.13380252323041267	0	0.17558756269985268	0	0.24267690514390247	0	0.3292969639968223	1	0.40519269668385716	1	1
yes	2007	33	69	0.0	50.56	15.43	8	7	20	1	0.35843862497366374	0	0.3126320290673211	0	0.3686916925685069	0	0.4142764801598826	0	0.44261131662865205	0	0.454465198193084	0	0.4535090836581406	0	0.4292287118176274	0	0.3826353564217635	0	0.3310890675734799	0	1
no	2015	32	70	1.4	10.05	8.31	9	7	16	0	0.21619175104784258	0	0.27214283231523406	1	0.2247025162694816	0	0.15797077927381195	0	0.10093204487994131	0	0.07425403378038559	0	0.05732937048156884	0	0.04569561765022911	0	0.03878689905040581	0	0.034621081293660635	0	0
no	2007	33	67	0.7	10.23	6.0	10	7	13	0	0.17058111643197202	0	0.19137886537439303	0	0.15170016330792918	0	0.12685412534677604	0	0.11108535215084207	0	0.10309909868367209	0	0.10004797534591016	0	0.09854058286874673	0	0.09717307294375803	0	0.09566536817199285	0	0
no	2013	32	73	0.1	27.82	10.17	12	7	15	0	0.17409899196502293	0	0.22657944367119842	0	0.1841437808848171	0	0.12932692455119385	0	0.09634650560296627	0	0.07600246579604251	0	0.06334541140155608	0	0.05518881725526409	0	0.04939356100073013	0	0.044982872765037436	0	0
no	2012	30	81	0.4	17.22	6.27	15	7	19	0	0.14900003607184673	0	0.1809568874142427	0	0.12798888381481272	0	0.09437592259197719	0	0.07192395619889307	0	0.05773690513598929	0	0.04899643012402873	0	0.042948663652861895	0	0.03830483576873335	0	0.034689039772724056	0	0
no	2016	28	77	0.0	25.9	8.83	16	7	23	0	0.15088936410032064	0	0.2121977336261105	0	0.16648688002039316	0	0.10179552287597414	0	0.06800796160328028	0	0.04656036361863528	0	0.03276906628483308	0	0.02361565134652427	0	0.01938759726018935	0	0.016731385021484118	0	0
yes	2008	30	70	0.0	34.76	11.37	17	7	16	1	0.4192041464143036	0	0.3632780885023266	0	0.40790140368588235	0	0.4493742253988322	0	0.48735453737253887	0	0.5139998433984961	0	0.5272642888438893	0	0.5336304391639197	0	0.5401666939932748	0	0.5468089431656293	0	0
yes	2011	36	54	0.0	67.91	22.61	10	8	14	1	0.353022023308563	0	0.25089466940891375	0	0.23302747672770951	1	0.1932421202039433	1	0.12870552194725673	1	0.08868072465434045	1	0.05743804801339498	1	0.03722214896012034	1	0.024954631454506552	1	0.01736480176371488	1	1
no	2007	35	51	0.3	75.8	21.6	12	8	15	0	0.16789748567214693	0	0.23825575136900967	0	0.25898412538809923	1	0.3226408561055205	1	0.4221916011223994	1	0.5179012943043461	1	0.6090048631931517	1	0.6814463423173556	1	0.7345673736927235	1	0.7732728504285218	1	1
yes	2017	33	64	0.0	94.81	27.97	14	8	16	1	0.33316418051025154	0	0.20436060413772833	1	0.1684561448164429	1	0.13474390428407804	1	0.10915176264161432	1	0.08766196950596203	1	0.07069184388998549	1	0.05767724321418513	1	0.047371913119853525	1	0.03862951908377501	1	1
yes	2011	35	56	0.3	92.76	22.36	15	8	13	1	0.31481262409565036	0	0.21824378364293778	1	0.1836326798483941	1	0.1398271369192333	1	0.10299992544865774	1	0.07167871256019227	1	0.05023061236372751	1	0.03672603464575906	1	0.028170106806028456	1	0.02239194447930398	1	1
yes	2011	35	59	0.3	91.16	18.28	16	8	20	1	0.2910851380174981	0	0.20766440536227718	1	0.18008693551834895	1	0.1397432739424532	1	0.10850167228705265	1	0.08141193451150028	1	0.062252272449962086	1	0.049608372944965555	1	0.04115642424379577	1	0.03502606814646411	1	1
yes	2010	36	52	0.0	101.16	23.44	17	8	20	1	0.26871527294868314	0	0.181290671747868	1	0.14537698869228843	1	0.10090388511530109	1	0.06212557004897653	1	0.036141802120817766	1	0.022107512820081228	1	0.01477705360322599	1	0.010727040197248941	1	0.008273900026908773	1	1
yes	2007	35	60	0.0	121.2	31.35	19	8	21	1	0.28735379654633164	0	0.19681426125659046	1	0.15585008024603458	1	0.10624878965133448	1	0.06175126004326316	1	0.033128238212958454	1	0.018778230271223485	1	0.011814306202833679	1	0.00822125460297305	1	0.006178037448471131	1	1
yes	2012	37	53	0.0	151.37	43.23	22	8	19	1	0.2315453456216276	1	0.13736360321607774	1	0.08639842360137973	1	0.03866167489187176	1	0.013671281919369215	1	0.004743513976752082	1	0.0019512092063303467	1	0.000978039741608145	1	0.0005720891288740511	1	0.0003725505420073463	1	1
yes	2014	35	54	0.0	162.28	48.13	23	8	16	1	0.20636556925509894	1	0.11556581642646334	1	0.06682808070064938	1	0.02686183711562729	1	0.008865838622535226	1	0.0030330244792078653	1	0.001267341262750982	1	0.0006506423783783351	1	0.00038778018784130344	1	0.0002547311637289507	1	1
yes	2010	33	66	0.0	172.19	51.54	24	8	15	1	0.2181606581971709	1	0.1341064127788491	1	0.0863604990683825	1	0.04083542011668748	1	0.01578253209636074	1	0.006022322548275624	1	0.002688605988246424	1	0.0014395477061867896	1	0.0008885563109163851	1	0.0006041099941836266	1	1
yes	2015	34	60	0.0	181.9	55.0	25	8	15	1	0.1669298199324026	1	0.09002202915505769	1	0.04789769450577724	1	0.017394906770718446	1	0.005399978451342779	1	0.0018104165007994865	1	0.0007551457348235513	1	0.0003890617080314003	1	0.00023227157207000672	1	0.0001520575608999352	1	1
yes	2016	31	79	0.0	191.26	58.09	26	8	20	1	0.155516834570155	1	0.08726147642829671	1	0.05065901785031008	1	0.022339547223870167	1	0.009242009626459031	1	0.004205591941324252	1	0.002288751897555837	1	0.001455427820623322	1	0.0010193505665725276	1	0.0007479055227248775	1	1
yes	2008	33	83	0.0	201.01	59.47	27	8	23	1	0.18218279862272518	1	0.11744084186708795	1	0.0772911351919542	1	0.037953196073355934	1	0.015400431799340171	1	0.006095804968614617	1	0.00278082674455767	1	0.0015068686989217594	1	0.0009398548315289753	1	0.0006453362294355597	1	1
yes	2015	34	66	0.0	210.55	62.99	28	8	16	1	0.11757117878269135	1	0.0610832538894924	1	0.028976389749755877	1	0.009077183842491603	1	0.00249382316950468	1	0.0007644515043973105	1	0.0002986795406264034	1	0.00014675617821558801	1	8.460786772119222e-05	1	5.393977869363728e-05	1	1
no	2013	35	70	0.8	181.14	37.76	30	8	19	0	0.4415345818575321	1	0.5367789917130225	1	0.6251930873489918	1	0.7326030169763365	1	0.8158754582867046	1	0.8685336014719042	1	0.898173097594512	1	0.9147856298177057	1	0.9248226091873772	1	0.9317539578545594	1	1
no	2013	24	77	7.2	8.38	2.63	1	9	19	0	0.3494742046807779	1	0.28993911449738724	1	0.17175275882177757	0	0.07837168458360984	0	0.03683436667238203	0	0.018606026120563193	0	0.010459440467957543	0	0.006577383987607392	0	0.004697513019232719	0	0.0037079972728621046	0	0
no	2017	22	88	10.1	7.57	1.32	2	9	17	0	0.34811323761514307	1	0.2756832898855574	1	0.1382837683144462	0	0.05633276804255392	0	0.02428665901021864	0	0.010345744624553168	0	0.005311020345267301	0	0.0032617968906594663	0	0.0022334897440513335	0	0.0016644799378719838	0	0
no	2013	30	73	0.1	16.28	3.58	4	9	18	0	0.32924633999326713	1	0.3115520814753289	1	0.2263927783210254	0	0.10586974262006738	0	0.05804107709630889	0	0.03224540139815056	0	0.019928801621790455	0	0.013938840606501959	0	0.010761787976733446	0	0.00901409792908766	0	0
yes	2014	28	77	0.0	24.05	5.7	5	9	18	1	0.19898232647978878	1	0.21223139639796812	1	0.3015106146075633	0	0.4706466775034226	0	0.5912961089655769	0	0.6896498793434422	0	0.7550344532281561	0	0.7960983701429801	0	0.8223153146860845	0	0.8388179858162306	0	0
no	2017	31	72	0.3	30.47	5.63	7	9	17	0	0.3757408391399334	1	0.391095374077186	1	0.3520325850879974	1	0.2683611969794764	1	0.14792388934165981	0	0.07607273550002244	0	0.0551573346809323	0	0.04470047667794843	0	0.040088354827022984	0	0.03946705069078509	0	0
no	2011	29	71	0.9	9.12	3.74	8	9	17	0	0.28051418406142337	1	0.25670243086719263	1	0.1778677733565492	0	0.10527031508092954	0	0.06875718001280956	0	0.047142005511523505	0	0.03457677726304667	0	0.027337421312978727	0	0.0227630980753858	0	0.019725081265134933	0	0
no	2008	33	71	1.8	9.61	3.6	10	9	13	0	0.24370319648108568	0	0.2095787795497291	0	0.14240418054316384	0	0.0957164739221094	0	0.06462482647216447	0	0.04725139361715195	0	0.03797428855436899	0	0.0329423676098923	0	0.029472278761618127	0	0.02687148536016058	0	0
no	2013	28	89	0.0	16.72	4.01	12	9	15	0	0.2387007787212333	0	0.20962897271862324	0	0.1409495907369275	0	0.08375973427583058	0	0.04856988829456376	0	0.029105320549436035	0	0.018671455776280425	0	0.01410076565555763	0	0.011489899991072874	0	0.00973109265898175	0	0
no	2013	24	80	0.4	7.7	1.58	15	9	15	0	0.22576870331663967	0	0.20461137724831832	0	0.14242500505784061	0	0.08421288719659326	0	0.04883530298218274	0	0.02846619192765439	0	0.01731207524430091	0	0.011162031806371356	0	0.00803119236225532	0	0.006452811451178444	0	0
no	2013	30	63	0.0	15.77	4.8	16	9	14	0	0.24122913250364034	0	0.24874956395025297	0	0.20246346978997762	0	0.13382481459900986	0	0.07563725449960038	0	0.05523951129786585	0	0.04390792702271647	0	0.03663014416925869	0	0.031662369228550445	0	0.02827578819573254	0	0
yes	2012	32	50	0.0	33.64	11.52	18	9	12	1	0.2636816795463829	0	0.22910518591240167	1	0.2301253772892295	1	0.23856448448258016	1	0.25938305539516554	0	0.2635692744487697	0	0.2577157885135967	0	0.24381753518997218	1	0.2249739413349561	1	0.20196637000085918	1	1
yes	2009	28	55	0.0	42.1	14.39	19	9	14	1	0.28025279302818623	0	0.25378370706492953	0	0.26061905158274595	0	0.26873190125740765	0	0.2806247519639834	0	0.27716692398855	0	0.27097699192624997	0	0.2645853894627544	0	0.25904623414606626	0	0.2532536586848328	0	1
yes	2008	27	83	0.0	49.31	16.04	20	9	18	1	0.29469978772326566	0	0.2922142574560029	0	0.32704589056237204	0	0.3672447228931384	0	0.40820809804809	0	0.433493334605496	0	0.45365709727595527	0	0.47145148474479065	0	0.4841804968430777	0	0.49581668228619263	0	0
no	2016	25	83	5.8	8.39	3.66	25	9	22	0	0.2778484397682267	1	0.2636127814152554	1	0.19328413776818276	0	0.11008359849099926	0	0.0688752614743336	0	0.04447715329301215	0	0.028036354467144486	0	0.017526299026398205	0	0.010936518974853772	0	0.007973144308291946	0	0
yes	2016	30	65	0.0	25.05	9.35	27	9	13	1	0.21117400604803327	1	0.17188151808169871	1	0.15312542500363324	1	0.133977887560508	1	0.12850330364995408	1	0.12842496357718483	1	0.13684546540761958	1	0.1511000592132579	1	0.1677534424260823	1	0.1844972394795156	1	0
no	2007	25	82	1.8	7.73	3.35	29	9	18	0	0.22488065783618372	0	0.21587002927381338	0	0.18145915532827503	0	0.14788835144590487	0	0.11614217358943378	0	0.09794471155932385	0	0.0835448412687919	0	0.0701326439110765	0	0.05765685689378218	0	0.04604780533871864	0	0
no	2010	25	76	1.4	7.53	2.51	30	9	16	0	0.22406454057735034	0	0.21768848184802678	0	0.1874525529350116	0	0.15657113717360563	0	0.12285364883080732	0	0.09484415740139751	0	0.07935773764539439	0	0.06586844737303829	0	0.05418861994877139	0	0.044286449412243946	0	0
no	2009	33	73	0.7	8.55	3.75	1	6	14	0	0.19162697969253703	0	0.1676217712353141	0	0.13578677255033572	0	0.11912325218731705	0	0.11124589954272028	0	0.11105169765586659	0	0.11371687837013365	0	0.11755285639128697	0	0.120631564444465	0	0.1221890132176082	0	0
no	2011	29	74	4.0	8.48	3.17	2	6	14	0	0.18452121146745604	0	0.1533892925264464	0	0.11991159852509654	0	0.09779359681597538	0	0.08335032722346997	0	0.0755956389572008	0	0.07073943035390269	0	0.06736204960146946	0	0.06412721124293619	0	0.06057389250707596	0	0
no	2009	32	58	0.2	18.23	6.86	5	6	15	0	0.18709902704300627	0	0.16286462286818296	0	0.12982317557011047	0	0.1125588605417684	0	0.1061767133215809	0	0.10927364339752299	0	0.1154737510542443	0	0.12271477747027648	0	0.13295743724550152	0	0.1383543185141005	0	0
yes	2017	36	54	0.1	26.87	10.04	6	6	12	1	0.2551308645647507	0	0.25102848402586947	0	0.274875885495205	0	0.291551961719612	0	0.2889191030276468	0	0.2608598341311661	0	0.22676379308302616	1	0.1929826262425336	1	0.16565132104652242	1	0.1439519448157802	1	1
yes	2008	35	46	0.2	29.5	11.58	7	6	19	1	0.30004868951614566	0	0.31390568291460563	0	0.34139381910025185	0	0.3295479116860346	0	0.26644232326932804	0	0.1806563640955233	1	0.130964657444844	1	0.11151920983271227	1	0.10061808343184728	1	0.09553122240392856	1	1
no	2012	28	49	1.3	8.38	7.55	8	6	19	0	0.22877115779705218	0	0.21776508648087525	0	0.18480082512371954	0	0.15744993189357556	0	0.136336621524788	0	0.1176283685389726	0	0.10277227350521156	0	0.09027544113327252	0	0.07906701281148891	0	0.07103049059704833	0	0
no	2016	27	61	0.1	15.14	8.55	9	6	19	0	0.22682021005053404	0	0.22059766330830802	0	0.18186759571739838	0	0.13821596169296194	0	0.10070114431115941	0	0.07885368492210112	0	0.060707632229455896	0	0.04852140692885089	0	0.040604775258087124	0	0.03651196737255387	0	0
yes	2009	32	44	0.0	30.63	18.89	11	6	23	1	0.3107429293522877	0	0.2990885028023584	0	0.2950654731837232	0	0.2510653218979253	0	0.17758893267821835	1	0.1266706787614821	1	0.10409610182944085	1	0.08995671312935341	1	0.08271537019931906	1	0.08005540240046397	1	1
no	2017	30	53	2.0	8.71	11.38	13	6	16	0	0.25387154613318275	1	0.2653490752500831	1	0.25603337998651243	1	0.24682771485106586	0	0.225463868409485	0	0.19094754953536505	0	0.15247061205634638	0	0.11744584486091267	0	0.08829761568900522	0	0.07306889713996938	0	0
no	2008	28	81	0.7	7.62	6.82	14	6	18	0	0.16480739101986566	0	0.14637770439148362	0	0.12685814201177043	0	0.1126579777267095	0	0.10334207027231151	0	0.09778090260682269	0	0.09450710819175558	0	0.09226770642774149	0	0.08951527572662428	0	0.08566570655988648	0	0
no	2015	28	92	0.0	14.75	7.24	15	6	17	0	0.15851934321688263	0	0.12535081740107393	0	0.09804067782375706	0	0.07623320484316669	0	0.05998420972642002	0	0.04911958288092855	0	0.04228604772004093	0	0.0378111109476769	0	0.03432425038110536	0	0.031181039345772894	0	0
no	2014	30	88	0.4	8.23	4.56	16	6	15	0	0.1510340871083393	0	0.12129761520022558	0	0.09614265928947469	0	0.07563782067145572	0	0.06055788665834633	0	0.050545708849959826	0	0.04423490349185723	0	0.040041213625410396	0	0.0366690152953603	0	0.033530268536982925	0	0
no	2015	33	68	4.5	9.12	5.09	19	6	16	0	0.1806834594518414	0	0.15504272446427148	0	0.10954724428925834	0	0.08256468490678391	0	0.060915844290053076	0	0.04537745608514268	0	0.03901756726483888	0	0.034585454922240265	0	0.03093264272550369	0	0.027520774075840655	0	0
no	2016	32	73	0.2	8.94	4.19	20	6	15	0	0.1632700597935236	0	0.14821380771831205	0	0.10417086995826425	0	0.07155555498542207	0	0.04987425623223353	0	0.03939147751618146	0	0.03377752424978864	0	0.03009624321501673	0	0.027239609326711902	0	0.02470926212525589	0	0
yes	2017	32	55	0.0	18.6	8.44	21	6	16	1	0.332515606090533	0	0.310370388680765	0	0.33035982814700465	0	0.3645863332515992	0	0.41554964870796024	0	0.4811456921814487	0	0.5270196346011308	0	0.5692723538082923	0	0.6096566317503129	0	0.648129771930176	0	0
no	2014	33	47	1.1	8.37	7.87	22	6	14	0	0.19657520855921895	0	0.2138266057552557	0	0.21619261695003666	0	0.23136390588117317	0	0.25512605160073737	1	0.27403049786799627	1	0.2727472617994488	1	0.2580750104993265	1	0.2337332124229655	0	0.202581297822353	0	0
no	2007	33	57	0.8	8.52	7.07	23	6	18	0	0.13632264676523626	0	0.1295355395422196	0	0.11293981404435886	0	0.1036920185329005	0	0.10141790443537561	0	0.1031240810416095	0	0.10571088502601057	0	0.10835270318011406	0	0.1097747914558838	0	0.10968076606226028	0	0
yes	2015	36	66	0.0	17.01	10.75	24	6	17	1	0.36503426017288243	0	0.36330908972390386	0	0.40817237797575057	0	0.4548873151986156	0	0.4862976593477195	0	0.5145743806999191	0	0.5428131445398121	0	0.5602057819515147	0	0.5687323086765801	0	0.5767458085523424	0	0
yes	2016	36	64	0.0	34.92	17.24	26	6	17	1	0.32622859112311003	0	0.29271013476128654	0	0.2734163195294476	0	0.23101385476416034	1	0.1794454402682786	1	0.13700998596413513	1	0.12107673222720977	1	0.11326541422122663	1	0.10931223960047658	1	0.10740429050758307	1	1
yes	2007	35	53	0.0	43.33	21.39	27	6	16	1	0.3540452113747883	0	0.32324747838705403	0	0.2775361672533735	0	0.1835626381615639	1	0.12537144556692367	1	0.08514396173251727	1	0.06255052730948432	1	0.050733197724459875	1	0.04514021632832559	1	0.042993989219822525	1	1
yes	2013	36	35	0.0	52.77	27.51	28	6	14	1	0.2659464460538994	0	0.1988630723489124	1	0.13016575804681335	1	0.0651425212326372	1	0.027866285811771505	1	0.012844222985378826	1	0.007142961234328988	1	0.004758295938241662	1	0.0036440018097731062	1	0.003091005975168983	1	1
yes	2010	37	36	0.6	37.44	18.8	29	6	14	1	0.2547503395260897	0	0.20519073832629842	1	0.1483998951947351	1	0.08665458802440612	1	0.04463161826410286	1	0.024420724738530273	1	0.015656951796721087	1	0.01175207547809694	1	0.01000735208481644	1	0.009326188972367306	1	1
no	2014	35	42	1.7	8.86	11.55	30	6	16	0	0.27609776539341724	1	0.3241725219619107	1	0.3881487660921869	1	0.4715944602105923	1	0.5446955024652524	1	0.5888304530196654	1	0.6076733388945369	1	0.6098645024775636	1	0.6020432229362744	1	0.5888340128792742	1	1
no	2009	27	56	2.2	8.92	4.19	1	7	20	0	0.17492998261923182	0	0.13243963154624214	0	0.10101722987810018	0	0.07523940581266945	0	0.05749524426105131	0	0.04726142716629966	0	0.042282666859153994	0	0.04016446594143072	0	0.03923879098463573	0	0.038727727998355034	0	0
yes	2007	34	60	0.0	37.56	14.94	4	7	18	1	0.35759149501677157	0	0.3995140760531495	0	0.44399943768685546	0	0.4823479974156537	0	0.506388594154079	0	0.5033192264578329	0	0.47141535727403566	0	0.39953848804075953	0	0.2978694799767067	0	0.21086141739650877	1	1
yes	2008	33	46	0.0	46.53	19.47	5	7	18	1	0.3041891590635288	0	0.30302517051161226	0	0.2998323437163154	0	0.2633048911272257	0	0.19270292832539845	1	0.12428202837020504	1	0.09212075417643022	1	0.06844597418430107	1	0.05294683749066281	1	0.042771421332218756	1	1
no	2008	33	61	1.1	57.35	22.04	24	7	19	0	0.20939739698444196	0	0.2311337398430749	0	0.2687956897953518	1	0.3507806484048437	1	0.41960433887234083	1	0.4691871655020115	1	0.5073235479544732	1	0.530954661741971	1	0.541515190287321	1	0.5452570450523808	1	1
no	2011	39	65	1.2	16.39	11.74	25	7	9	0	0.22061314819355304	0	0.22445961823546254	0	0.22538612340605302	0	0.23478119218408347	0	0.24454753504889293	0	0.24762015676612467	0	0.2526469742445593	1	0.2514477753733441	1	0.2405753375569946	0	0.2290153109680722	0	1
no	2015	36	56	0.2	20.61	10.77	26	7	12	0	0.24593790579985067	0	0.2798310726909721	1	0.3118689530751913	1	0.339298502245889	1	0.34019007997184686	1	0.31637208180528703	1	0.29109462985288354	1	0.2654926723672994	1	0.24195370829438187	0	0.225793831396437	0	1
no	2007	30	86	0.0	28.64	12.22	27	7	18	0	0.1505946189997817	0	0.13593667035602175	0	0.11433859636776074	0	0.09496672854294592	0	0.08040473918943027	0	0.07037646251798542	0	0.06463534556480545	0	0.0606101039615819	0	0.05708472121761404	0	0.05388494743206052	0	0
yes	2012	34	55	0.0	37.76	15.73	28	7	17	1	0.31358386186756193	0	0.28027378039207357	0	0.25932796778522765	0	0.24645897309518736	1	0.25252698426199055	0	0.2751133028291571	0	0.2994959949920075	0	0.3263673820378772	0	0.3546872411907403	0	0.3782670963243729	0	1
yes	2012	35	57	0.0	48.17	19.91	29	7	16	1	0.29042864307383376	0	0.24786648400290828	1	0.2051639155593028	1	0.16165746635126682	1	0.13754558085558596	1	0.12302747916749446	1	0.11359738596059073	1	0.1079260168394738	1	0.1046554009541952	1	0.10259211591121524	1	1
yes	2014	36	57	0.0	58.1	24.42	30	7	18	1	0.25443140236122613	0	0.20353898719797903	1	0.15597155424084963	1	0.11390452566823729	1	0.08556744101541952	1	0.06889440958529547	1	0.058505636556594555	1	0.05193317325120476	1	0.0474701210730177	1	0.04426186955565889	1	1
