fire	year	temp	humidity	rainfall	drought_code	buildup_index	day	month	wind_speed	encoded_fire	loss
no	2017	31	72	0.3	30.47	5.63	7	9	17	0	0.40070209738305174
no	2011	31	75	1.0	8.67	3.54	9	9	17	0	0.34626113683188314
no	2013	25	86	4.6	7.76	2.01	13	9	23	0	0.33482765543348314
no	2013	24	80	0.4	7.7	1.58	15	9	15	0	0.3458568097830591
no	2013	30	63	0.0	15.77	4.8	16	9	14	0	0.3785360369698697
yes	2009	28	55	0.0	42.1	14.39	19	9	14	1	0.1630572940201822
yes	2008	27	83	0.0	49.31	16.04	20	9	18	1	0.1815873496351438
no	2017	32	52	0.6	42.12	13.86	22	9	21	0	0.43546366873729675
no	2010	31	56	0.5	30.41	10.52	23	9	11	0	0.3716222349863361
no	2016	25	83	5.8	8.39	3.66	25	9	22	0	0.3694037419548571
yes	2016	30	65	0.0	25.05	9.35	27	9	13	1	0.12754487723783905
no	2007	31	45	0.7	9.28	7.49	28	9	16	0	0.35696524442915006
no	2007	25	82	1.8	7.73	3.35	29	9	18	0	0.3202955239279787
no	2010	25	76	1.4	7.53	2.51	30	9	16	0	0.34266834589154294
no	2009	33	73	0.7	8.55	3.75	1	6	14	0	0.3641026780426586
no	2011	29	74	4.0	8.48	3.17	2	6	14	0	0.3614645251483734
yes	2017	36	54	0.1	26.87	10.04	6	6	12	1	0.10426400858004516
yes	2008	35	46	0.2	29.5	11.58	7	6	19	1	0.13840264838244717
no	2016	27	61	0.1	15.14	8.55	9	6	19	0	0.4209772338570505
yes	2009	32	44	0.0	30.63	18.89	11	6	23	1	0.13685846677805688
no	2017	30	53	2.0	8.71	11.38	13	6	16	0	0.4394794698945092
no	2008	28	81	0.7	7.62	6.82	14	6	18	0	0.3568318636669165
no	2015	28	92	0.0	14.75	7.24	15	6	17	0	0.39909220893143604
no	2014	30	88	0.4	8.23	4.56	16	6	15	0	0.39961861925482595
no	2015	33	68	4.5	9.12	5.09	19	6	16	0	0.4261334223444592
no	2016	32	73	0.2	8.94	4.19	20	6	15	0	0.4360406704514668
yes	2017	32	55	0.0	18.6	8.44	21	6	16	1	0.10341960129005734
no	2014	33	47	1.1	8.37	7.87	22	6	14	0	0.4427415591156368
no	2007	33	57	0.8	8.52	7.07	23	6	18	0	0.38355434632099206
yes	2015	36	66	0.0	17.01	10.75	24	6	17	1	0.10945268730444506
yes	2016	36	64	0.0	34.92	17.24	26	6	17	1	0.1033292064101299
yes	2010	37	36	0.6	37.44	18.8	29	6	14	1	0.11162816679176085
no	2014	35	42	1.7	8.86	11.55	30	6	16	0	0.4576228567469446
no	2009	27	56	2.2	8.92	4.19	1	7	20	0	0.3457020570101904
yes	2007	34	60	0.0	37.56	14.94	4	7	18	1	0.16038362842880416
yes	2008	33	46	0.0	46.53	19.47	5	7	18	1	0.14934804969456628
yes	2010	35	40	0.3	45.97	17.4	6	7	16	1	0.13318416457160792
no	2007	30	86	0.0	28.64	12.22	27	7	18	0	0.361044571632615
yes	2012	34	55	0.0	37.76	15.73	28	7	17	1	0.11949460964103649
yes	2014	36	57	0.0	58.1	24.42	30	7	18	1	0.10813349819036994
yes	2009	36	53	0.0	67.29	28.65	31	7	15	1	0.12493504330804553
yes	2017	40	36	0.0	21.94	10.84	2	8	14	1	0.10606866219657098
yes	2012	40	31	0.0	32.14	17.34	3	8	19	1	0.1230246863086056
yes	2011	39	36	0.0	42.99	23.88	4	8	15	1	0.13076978791011334
no	2017	29	54	3.1	9.27	11.37	6	8	14	0	0.4013600752865981
no	2014	33	65	2.9	10.76	6.9	7	8	15	0	0.3862389720871842
yes	2013	39	44	0.0	31.03	16.41	9	8	12	1	0.12283305420324113
yes	2016	38	21	0.4	41.58	18.85	12	8	17	1	0.10069645537327308
yes	2015	34	36	0.2	45.69	17.83	13	8	16	1	0.11416187119478662
yes	2013	36	38	0.0	55.82	22.47	14	8	14	1	0.11886549419013333
yes	2012	43	23	0.0	76.99	30.87	17	8	11	1	0.10385338394778743
yes	2011	37	39	0.0	87.17	36.48	18	8	14	1	0.12170692226197742
yes	2016	35	80	0.0	107.14	38.23	20	8	16	1	0.1167595061111373
yes	2010	37	72	0.0	117.49	41.62	21	8	17	1	0.13308892304970452
yes	2008	36	53	0.0	128.08	46.25	22	8	16	1	0.13427500912488172
yes	2012	37	44	0.0	138.67	50.76	23	8	16	1	0.11117433626089648
yes	2008	33	38	0.0	167.94	64.13	26	8	18	1	0.12746857048347673
yes	2015	36	54	0.0	177.81	68.27	27	8	14	1	0.10303561246882648
yes	2014	34	52	0.5	149.21	31.05	29	8	18	1	0.10187196717925825
yes	2013	35	47	0.0	159.81	36.57	30	8	17	1	0.10137228583056279
yes	2007	31	60	0.0	168.73	39.65	31	8	20	1	0.13387061483536875
no	2011	30	85	0.0	8.63	1.44	1	9	17	0	0.3307649306244968
no	2008	27	69	0.0	17.24	4.56	2	9	21	0	0.3148411181511344
yes	2009	29	76	0.0	25.0	6.44	3	9	17	1	0.18505278014241655
no	2012	29	64	0.2	27.59	6.1	4	9	15	0	0.3573210904939361
no	2007	29	59	4.1	8.67	4.42	5	9	13	0	0.310335526691489
yes	2012	32	60	0.0	18.53	6.88	7	9	16	1	0.15397649719233694
yes	2012	31	87	0.0	26.95	8.61	8	9	14	1	0.16737202679366067
yes	2010	29	78	0.0	35.09	10.5	9	9	16	1	0.17504227268582595
no	2015	29	75	0.0	16.94	6.81	11	9	15	0	0.37612625713783837
yes	2016	31	70	0.0	25.72	9.58	12	9	14	1	0.1374282426926031
yes	2008	35	43	0.0	64.07	27.11	17	9	12	1	0.15017047181850868
yes	2009	29	43	0.1	86.71	28.93	19	9	10	1	0.1507961701048052
yes	2009	34	65	0.0	106.34	32.43	22	9	15	1	0.14583023991850882
yes	2016	34	55	0.0	115.7	36.29	23	9	15	1	0.1099362888722706
no	2008	26	47	2.0	28.88	12.35	24	9	6	0	0.3438992378002445
yes	2017	31	67	0.0	45.15	17.89	26	9	15	1	0.12144108695265686
no	2017	29	89	4.4	8.74	6.52	27	9	15	0	0.38656547251434537
no	2016	25	56	0.1	15.54	6.1	29	9	20	0	0.40723062405131055
no	2012	24	62	0.2	16.72	5.75	30	9	17	0	0.36961074885370454
